Date,WMT,FB
3/19/2015,75.983788,82.75
3/20/2015,77.586975,83.800003
3/23/2015,77.652222,84.43
3/24/2015,77.409882,85.309998
3/25/2015,75.797363,82.919998
3/26/2015,76.328659,83.010002
3/27/2015,75.82534,83.300003
3/30/2015,76.925201,83.199997
3/31/2015,76.6642,82.220001
4/1/2015,75.22879,81.669998
4/2/2015,75.247437,81.559998
4/6/2015,75.489769,82.440002
4/7/2015,75.033043,82.32
4/8/2015,75.527069,82.279999
4/9/2015,75.349976,82.169998
4/10/2015,75.172867,82.040001
4/13/2015,74.837318,83.010002
4/14/2015,74.706818,83.519997
4/15/2015,74.324669,82.709999
4/16/2015,73.85862,82.309998
4/17/2015,72.590965,80.779999
4/20/2015,72.833328,83.089996
4/21/2015,72.730804,83.620003
4/22/2015,73.10363,84.629997
4/23/2015,73.802696,82.410004
4/24/2015,74.417877,81.529999
4/27/2015,73.979797,81.910004
4/28/2015,73.728127,80.68
4/29/2015,72.590965,80.470001
4/30/2015,72.749443,78.769997
5/1/2015,73.262085,78.989998
5/4/2015,73.802696,78.809998
5/5/2015,72.824013,77.559998
5/6/2015,72.833389,78.099998
5/7/2015,73.189827,78.43
5/8/2015,73.658798,78.510002
5/11/2015,73.255478,78.010002
5/12/2015,74.062119,77.459999
5/13/2015,73.311752,78.440002
5/14/2015,73.837013,81.370003
5/15/2015,74.324768,80.419998
5/18/2015,74.962578,80.879997
5/19/2015,71.689056,80.629997
5/20/2015,71.191933,80.550003
5/21/2015,71.388908,80.480003
5/22/2015,71.154419,80.540001
5/26/2015,70.253967,79.330002
5/27/2015,70.525986,80.550003
5/28/2015,70.197693,80.150002
5/29/2015,69.663048,79.190002
6/1/2015,70.094528,80.290001
6/2/2015,69.906914,80.440002
6/3/2015,70.244583,82.440002
6/4/2015,69.550499,82.050003
6/5/2015,68.528091,82.139999
6/8/2015,68.10601,80.669998
6/9/2015,67.974701,80.669998
6/10/2015,68.406166,82.160004
6/11/2015,68.41555,81.830002
6/12/2015,67.93718,81.529999
6/15/2015,67.468201,80.709999
6/16/2015,67.862137,81.059998
6/17/2015,68.218582,81.790001
6/18/2015,68.453072,82.910004
6/19/2015,68.227936,82.510002
6/22/2015,68.274857,84.739998
6/23/2015,68.068497,87.879997
6/24/2015,67.890282,88.860001
6/25/2015,67.402542,87.980003
6/26/2015,67.646416,88.010002
6/29/2015,66.989838,85.800003
6/30/2015,66.530235,85.769997
7/1/2015,67.421288,86.910004
7/2/2015,67.402542,87.290001
7/6/2015,68.030983,87.550003
7/7/2015,69.212822,87.220001
7/8/2015,68.528091,85.650002
7/9/2015,68.265472,85.879997
7/10/2015,68.584389,87.949997
7/13/2015,69.297241,90.099998
